"","cell_id","step_ix","simulation_i","sim_time","num_molecules","mult","lib_size"
"145","cell145",774,3,28.0083333333324,2569358,0.842112270858986,1173445
"146","cell146",527,2,117.000000000039,2874160,2.65721993415394,3092027
"147","cell147",512,2,102.000000000027,2909207,0.413005805990543,3931040
"148","cell148",798,3,52.008333333331,2710636,0.354926864523123,1983122
"149","cell149",415,2,5.00000000000004,2546595,0.247373269213086,1026764
"150","cell150",755,3,9.00000000000013,2567084,4.92629318123499,1132374
"151","cell151",445,2,35.008333333332,2643187,0.539919048456387,1648690
"152","cell152",745,3,0,2549832,3.03450286533206,1026764
"153","cell153",441,2,31.0083333333322,2619226,1.57791575919706,1601752
"154","cell154",211,1,137.00000000004,2804503,0.434516525052551,2194342
"155","cell155",91,1,17.008333333333,2600730,0.51840832939438,1414001
"156","cell156",759,3,13.0083333333332,2573303,1.48550660654313,1196914
"157","cell157",127,1,53.008333333331,2646233,0.782990173857072,1660424
"158","cell158",183,1,109.000000000033,2940483,0.286092563524699,5380244
"159","cell159",861,3,115.000000000038,2959859,0.641019428047822,8278653
"160","cell160",93,1,19.0083333333329,2605501,0.914205560135317,1478540
"161","cell161",488,2,78.0000000000081,2697386,2.25217228579218,1971387
"162","cell162",213,1,139.000000000038,2811183,0.795896605294276,2370358
"163","cell163",419,2,9.00000000000013,2568922,2.44763323608904,1149976
"164","cell164",410,2,0,2496409,0.872495820645426,938756
"165","cell165",77,1,3.00833333333333,2494352,1.60254857011956,874216
"166","cell166",86,1,12.0083333333333,2560969,0.542070120362588,1044366
"167","cell167",812,3,66.0083333333319,2668152,0.907752344416715,1719097
"168","cell168",124,1,50.0083333333311,2648841,0.326962929742513,1689760
"169","cell169",73,1,0,2465189,0.320509714023911,780341
"170","cell170",175,1,101.000000000026,2952988,0.580789414674202,6283797
"171","cell171",93,1,19.0083333333329,2605501,0.503198258690449,1502009
"172","cell172",168,1,94.0000000000209,2910887,0.619508708985815,3995579
"173","cell173",170,1,96.0000000000225,2926478,1.26983634272021,4303894
"174","cell174",433,2,23.0083333333327,2560956,0.456027244114558,1038499
"175","cell175",574,2,164.000000000015,2811143,1.4412181771545,2296930
"176","cell176",73,1,0,2465189,0.406552590271941,839013
"177","cell177",169,1,95.0000000000217,2918347,0.438818668864952,4218534
"178","cell178",420,2,10.0000000000001,2572502,0.645321571860224,1191046
"179","cell179",89,1,15.0083333333331,2592628,0.376437583585131,1331860
"180","cell180",865,3,119.000000000041,2956257,0.813521732622084,6682768
"181","cell181",119,1,45.0083333333314,2684486,0.797662840479475,1791018
"182","cell182",780,3,34.008333333332,2609058,0.376437583585131,1519611
"183","cell183",513,2,103.000000000028,2911889,0.311905426399108,4002253
"184","cell184",779,3,33.0083333333321,2596261,0.5764872708618,1339592
"185","cell185",538,2,128.000000000048,2800973,0.735666591920655,2159138
"186","cell186",436,2,26.0083333333325,2584064,0.587242630392804,1320125
"187","cell187",781,3,35.008333333332,2618691,0.348473648804521,1584150
"188","cell188",120,1,46.0083333333314,2679784,0.873327762031183,1760167
"189","cell189",195,1,121.000000000042,2878868,0.421610093615346,3144832
"190","cell190",532,2,122.000000000043,2842738,0.320509714023911,2522906
"191","cell191",783,3,37.0083333333319,2632611,1.27988778418944,1631088
"192","cell192",881,3,135.000000000042,2870817,2.77178014934024,2927745
"193","cell193",818,3,72.0000000000034,2689187,1.46487996812271,1871644
"194","cell194",781,3,35.008333333332,2618691,0.378588655491331,1595885
"195","cell195",163,1,89.0000000000169,2890017,0.686191938078038,3408857
"196","cell196",133,1,59.0083333333306,2652071,3.73677548185513,1719097
"197","cell197",149,1,75.0000000000058,2782782,1.97253293798608,2135669
"198","cell198",872,3,126.000000000046,2932842,0.415156877896744,5063414
"199","cell199",104,1,30.0083333333323,2623056,6.08387201318918,1619354
"200","cell200",103,1,29.0083333333323,2621573,1.14885584621802,1601752
