pop	true_time
1_2	20.7387708707247
1_2	21.9769235791173
1_2	22.1840539493132
1_2	23.377724691527
1_2	24.2977844062261
1_2	25.3411056045443
1_2	26.3120676442049
1_2	27.9742789210286
1_2	28.5825338244904
1_2	29.5921593985986
1_2	30.3888721908443
1_2	31.5036034260411
1_2	32.8344837271143
1_2	33.804001417011
1_2	34.6196471049916
1_2	35.4480023377109
1_2	36.1517900892068
1_2	37.1661390741356
1_2	38.0801473164465
1_2	39.0857783735264
1_2	40.3688548179343
1_2	41.4419385106303
1_2	42.3967060823925
1_2	43.6737951571122
1_2	44.143515045289
1_2	45.7166455527768
1_2	46.3454531608149
1_2	47.7653743627016
1_2	48.0792981046252
1_2	49.3407353400253
1_2	50.9932061338332
1_2	51.8564709401689
1_2	52.6850046778563
1_2	53.1044144791085
1_2	54.4449784371536
1_2	55.71649406082
1_2	56.1612244336866
1_2	57.4879687773064
1_2	58.7962292113807
1_2	59.7687379142735
1_2	60.9063273204956
1_2	61.9541947743855
1_2	62.3461170371156
1_2	63.7520409601275
1_2	64.2943434333429
1_2	65.159849264659
1_2	66.5379389035515
1_2	67.9658585691359
1_2	68.4568421700969
1_2	69.8154345555231
1_2	70.2755776429549
1_2	71.6419982942753
1_2	72.0259157884866
1_2	73.6695116993506
1_2	74.2557040166575
1_2	75.4095097258687
1_2	76.0919853458181
1_2	77.6877214012202
1_2	78.8257498443127
1_2	79.8419443808962
1_2	80.6796052176505
1_2	81.9855100545101
1_2	82.9264956829138
1_2	83.3786959263962
1_2	84.9299001409672
1_2	85.2555489018559
1_2	86.6706348075531
1_2	87.492092164699
1_2	88.0582238589413
1_2	89.7909705720376
1_2	90.0879378542304
1_2	91.9573120295536
1_2	92.5743916712236
1_2	93.29938542936
1_2	94.8905043879058
1_2	95.7256414929871
1_2	96.4617408148479
1_2	97.4387129768729
1_2	98.9697144867387
1_2	99.0735304660629
1_2	100.872793926159
1_2	101.87464144337
1_2	102.78551884857
1_2	103.175014108652
1_2	104.469698927598
1_2	105.396207539132
1_2	106.238849477377
1_2	107.056507551111
1_2	108.768310116604
1_2	109.450438071974
1_2	110.71648946777
1_2	111.469823241467
1_2	112.92416366539
1_2	113.312554636737
1_2	114.690648760414
1_2	115.982897527516
1_2	116.438881143695
1_2	117.292433155002
1_2	118.544276507106
1_2	119.016352770617
1_2	120.612530889921
1_2	121.805416521616
1_2	122.653147782432
1_2	123.46662404947
1_2	124.010668909876
1_2	125.409252549289
1_2	126.929013305577
1_2	127.152261592215
1_2	128.508780911099
1_2	129.470552431419
1_2	130.420247074682
1_2	131.862704540137
1_2	132.833152654348
1_2	133.179874892347
1_2	134.245928568766
1_2	135.26916753198
1_2	136.99971984094
1_2	137.872058483073
1_2	138.041567836422
1_2	139.369900640799
1_2	140.319599609822
1_2	141.031310173916
1_2	142.766449762508
1_2	143.443052266492
1_2	144.398457316216
1_2	145.161606795155
1_2	146.274102312978
1_2	147.785774293588
1_2	148.136602513026
1_2	149.0527478531
1_2	150.553679634351
1_2	151.335405289195
1_2	152.863322996302
1_2	153.74335645535
1_2	154.903879723279
1_2	155.241359755164
1_2	156.841186468955
1_2	157.529249209911
1_2	158.95657527796
1_2	159.317980580963
1_2	160.573934309185
1_2	161.928659067489
1_2	162.701747468906
1_2	163.661720685894
1_2	164.175855491078
1_2	165.414768248331
1_2	166.497942435322
1_2	167.054687931202
1_2	168.348930199863
1_2	169.966155803297
1_2	170.584962846711
1_2	171.23239194951
1_2	172.794421998784
1_2	173.150666587055
1_2	174.00674583111
1_2	175.299291850301
1_2	176.616438007914
1_2	177.770908359671
1_2	178.710946870502
1_2	179.743745744461
1_2	180.716861857567
1_2	181.762887590099
1_2	182.295808538795
1_2	183.670879749814
1_2	184.005568881519
1_2	185.550796764437
1_2	186.954590158304
1_2	187.694579913281
1_2	188.982224767329
1_2	189.485612487653
1_2	190.265993580455
1_2	191.389650516678
1_2	192.703650295269
1_2	193.257191999117
1_2	194.78547379747
1_2	195.177952272585
1_2	196.548797837459
1_2	197.946623707423
1_2	198.237460824428
1_2	199.768259838689
1_2	200.944007088197
1_2	201.736378295114
1_2	202.443519981345
1_2	203.439420970622
1_2	204.251332744258
1_2	205.409278598614
1_2	206.775343009271
1_2	207.004474156303
1_2	208.015248075128
1_2	209.523234254681
1_2	210.85996184824
1_2	211.410889112391
1_2	212.786069730064
1_2	213.500095705967
1_2	214.158662418369
1_2	215.156184601597
1_2	216.964239049936
1_2	217.451965441927
1_2	218.917092549615
1_2	219.762861549854
1_2	220.445651834365
1_2	221.373509773053
1_2	222.47279182123
1_2	223.73108641617
1_2	224.353950672783
1_2	225.180406572996
1_2	226.48919442785
1_2	227.550600257469
1_2	228.411460077157
1_2	229.343717677286
1_2	230.203760720557
1_2	231.421831167303
1_2	232.946327622514
1_2	233.068635927048
1_2	234.309835949447
1_2	235.895605661208
1_2	236.644657948753
1_2	237.139097744832
1_2	238.73591751745
1_2	239.107960368972
1_2	240.853815193521
1_2	241.995742858388
1_2	242.005573388655
1_2	243.225634953706
1_2	244.309514980065
1_2	245.982418225612
1_2	246.637771766633
1_2	247.930833538296
1_2	248.626663568895
1_2	249.137151263189
1_2	250.593311312841
1_2	251.029007525183
1_2	252.705679537263
1_2	253.855664725415
1_2	254.0658651134
1_2	255.458222553367
1_2	256.955038030865
1_2	257.833589099115
1_2	258.499886711128
1_2	259.748314846307
1_2	260.982649716549
1_2	261.540615055943
1_2	262.244301685831
1_2	263.891420582775
1_2	264.566350570647
1_2	265.034694082569
1_2	266.460356627358
1_2	267.564944415586
1_2	268.794140536105
1_2	269.08060229593
1_2	270.974171216367
1_2	271.255934384884
1_2	272.629618053092
1_2	273.394989798777
1_2	274.151713480707
1_2	275.796719268197
1_2	276.779355762992
1_2	277.548574924469
1_2	278.597474805079
1_2	279.548900163034
1_2	280.913249199744
1_2	281.595325687435
1_2	282.001945330994
1_2	283.803754152032
1_2	284.505062455079
1_2	285.735879209591
1_2	286.967584676808
1_2	287.405056358548
1_2	288.182395743439
1_2	289.87662297627
1_2	290.158261123579
1_2	291.040628504707
1_2	292.042851141421
1_2	293.085799162509
1_2	294.441223995993
1_2	295.183995910687
1_2	296.070324025815
1_2	297.316108209779
1_2	298.847221528413
1_2	299.536708554486
1_2	300.04067589785
1_2	301.941860165447
1_2	302.823015730828
1_2	303.88815820287
1_2	304.157687671948
1_2	305.573880700395
1_2	306.34835276776
1_2	307.861716417596
1_2	308.558998354943
1_2	309.979770284146
1_2	310.299299940001
1_2	311.309732083231
1_2	312.452149517136
1_2	313.915220815223
1_2	314.532642304199
1_2	315.164881762816
1_2	316.330259436276
1_2	317.067204709863
1_2	318.510022171307
1_2	319.432159159333
1_2	320.554411349818
1_2	321.61438569543
1_2	322.421799559845
1_2	323.161081794184
1_2	324.117471365957
1_2	325.450474034064
1_2	326.242722578347
1_2	327.653672104701
1_2	328.452377128648
1_2	329.852316010278
1_2	330.736482092179
1_2	331.170359727228
1_2	332.084351011319
1_2	333.597828183323
1_2	334.897944014054
1_2	335.748279643711
1_2	336.801299984567
1_2	337.580112003488
1_2	338.551827612566
1_2	339.413405742962
1_2	340.396460657474
1_2	341.447741042823
1_2	342.604533012258
1_2	343.899659801275
1_2	344.426086716121
1_2	345.953160732519
1_2	346.861514935503
1_2	347.404925088631
1_2	348.585472788895
1_2	349.915738222189
1_2	350.666211670497
1_2	351.437383224489
1_2	352.441827709088
1_2	353.819760585669
1_2	354.544678519014
1_2	355.421926822979
1_2	356.5440796318
1_2	357.243756111711
1_2	358.100403693039
1_2	359.352691468084
1_2	360.453330089338
1_2	361.341426659143
1_2	362.442565229489
1_2	363.533145029331
1_2	364.695152069908
1_2	365.743517167633
1_2	366.81719577848
1_2	367.614536313806
1_2	368.81944288034
1_2	369.451802718686
1_2	370.638370768866
1_2	371.935303325066
1_2	372.913900929736
1_2	373.851500789635
1_2	374.327368610306
1_2	375.324821457267
1_2	376.576902005589
1_2	377.276889054105
1_2	378.557688947069
1_2	379.942279805895
1_2	380.741215225542
1_2	381.19457577914
1_2	382.969947671518
1_2	383.960408863612
1_2	384.219147537369
1_2	385.609892960871
1_2	386.081601392478
1_2	387.961241532816
1_2	388.850500364788
1_2	389.669808658771
1_2	390.29994057375
1_2	391.28978449502
1_2	392.057768992614
1_2	393.603722534841
1_2	394.149788228562
1_2	395.830398622435
1_2	396.379889142932
1_2	397.412878034869
1_2	398.775731205707
1_2	399.655842313543
1_2	400.93627133104
1_2	401.561389218085
1_2	402.201192014851
1_2	403.093991865171
1_2	404.515623183222
1_2	405.905622872757
1_2	406.815581616247
1_2	407.903078117408
1_2	408.171251565451
1_2	409.465300113196
1_2	410.434520066716
1_2	411.293044516351
1_2	412.966475959169
1_2	413.957598324399
1_2	414.72183070099
1_2	415.741062017623
1_2	416.123654253548
1_2	417.164683964336
1_2	418.731563883135
1_2	419.837589259725
1_2	420.675756710581
1_2	421.664447347866
1_2	422.109743377427
1_2	423.442453262396
1_2	424.890546803363
1_2	425.995448767673
1_2	426.774682763265
1_2	427.647325368132
1_2	428.071421117289
1_2	429.461893334985
1_2	430.963982363697
1_2	431.498462231597
1_2	432.525112178875
1_2	433.128730481258
1_2	434.131157353055
1_2	435.89354361943
1_2	436.142009989358
1_2	437.831270291936
1_2	438.680120794568
1_2	439.066784807714
1_2	440.316514139296
1_2	441.778789175441
